animalID,animal,alternatives,features,numAlts,numFeatures
1,ant,ant;beaver;mouse;monkey;man,funny;industrious;busy;quiet;small;smart,5,6
2,whale,eagle;whale;horse;lion;elephant;man,hard;big;proud;fast;fierce;majestic;strong,6,7
3,bird,ant;cheetah;mouse;jaguar;bird;man,industrious;agile;quiet;fast;sleek;small,6,6
4,elephant,turtle;whale;armadillo;elephant;man,majestic;big;slow;hard;strong,5,5
5,panda,elephant;dog;cat;kitten;whale;panda;man,cute;lazy;big;hard;playful;loyal;majestic;friendly,7,8
6,monkey,hyena;dog;dolphin;monkey;cat;man,funny;lazy;cute;loyal;loud;friendly;smart;happy,6,8
7,penguin,monkey;dog;cat;hyena;kitten;penguin;man,funny;lazy;cute;playful;loyal;loud;friendly;smart,7,8
8,giraffe,horse;giraffe;snake;man,slithery;tall;strong;long;fast,4,5
9,cheetah,cheetah;deer;jaguar;monkey;cat;man,funny;lazy;cute;agile;fast;sleek;dumb;smart,6,8
10,turtle,turtle;sloth;horse;bear;gorilla;elephant;man,hairy;lazy;slow;big;hard;fast;strong,7,7
11,lion,horse;bear;tiger;gorilla;lion;elephant;man,hairy;big;hard;fast;fierce;striped;strong,7,7
12,rabbit,jaguar;dog;cat;rabbit;kitten;cheetah;man,cute;lazy;agile;fast;sleek;playful;loyal;friendly,7,8
