workerid	Answer.gender	Answer.nativeLanguage	Answer.income	Answer.age	Answer.orders	Answer.categoryIDs	Answer.animals	Answer.adjectives
1	O	English	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	jaguar,bear,gorilla,deer,dolphin,cat,horse,sloth,snake,eagle,kitten,hyena,armadillo,beaver,dog,tiger,mouse	Beautiful,Scary,Freaky,Cute,Sleek,Cuddly,Majestic,Slow,Fasinating,Scary,Cute,Funny,Boring,Funny,Loyal,Majestic,Small
2	M	English	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	gorilla,horse,mouse,armadillo,dolphin,dog,eagle,tiger,jaguar,snake,cat,beaver,hyena,sloth,bear,kitten,deer	big,majestic,tiny,lazy,genius,loyal,majestic,dangerous,evil,gross,lazy,inappropriate,funny,laziest,scary,adorable,stupid
3	M	english	6	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	horse,gorilla,sloth,mouse,cat,dog,eagle,jaguar,hyena,tiger,kitten,armadillo,snake,beaver,dolphin,deer,bear	strong,big,slow,quick,gross,loyal,majestic,fast,funny,big,small,hard,evil,constructive,smart,smart,big
4	M	English	6	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	dog,jaguar,beaver,gorilla,deer,hyena,mouse,armadillo,bear,tiger,kitten,sloth,cat,eagle,horse,snake,dolphin	stupid,fast,industrious,large,swift,opportunistic,scurrilous,armored,large,ferocious,cute,lazy,devious,feathered,swift,long,wet
5	F	English	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	deer,dolphin,bear,tiger,cat,beaver,mouse,snake,dog,horse,gorilla,sloth,kitten,eagle,hyena,jaguar,armadillo	graceful,happy,hungry,ferocious,lazy,ugly,creepy,slithery,adorable,majestic,huge,funny,cute,strong,annoying,sleek,weird
6	M	english	6	55	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	jaguar,armadillo,kitten,mouse,snake,dolphin,beaver,gorilla,sloth,horse,tiger,deer,dog,bear,cat,eagle,hyena	fast,hard,soft,tiny,slimy,wet,furry,large,lazy,regal,orange,jittery,happy,big,shifty,majestic,evil
7	F	english	11	55	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	deer,bear,cat,dolphin,armadillo,hyena,sloth,gorilla,beaver,kitten,mouse,tiger,dog,jaguar,snake,eagle,horse	docile,fluffy,aloof,smart,slow,ugly,slow,smart,industrious,adorable,timid,fierce,loyal,sleek,long,proud,strong
8	F	english	4	45	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	deer,snake,gorilla,beaver,hyena,horse,jaguar,tiger,eagle,armadillo,bear,mouse,dog,dolphin,sloth,kitten,cat	fast,scaled,large,wet,vicious,galloper,hunter,striped,flyer,round,hungry,small,furry,swimmer,slow,cute,hungry
9	M	english	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	sloth,tiger,eagle,jaguar,armadillo,deer,horse,kitten,cat,mouse,bear,hyena,snake,dolphin,dog,beaver,gorilla	slow,fierce,majestic,spotted,armored,pretty,strong,cute,lazy,timid,large,ugly,scary,smart,loyal,industrious,angry
10	M	English	11	55	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null	cat,jaguar,eagle,mouse,gorilla,kitten,tiger,beaver,snake,bear,horse,deer,dolphin,dog,armadillo,sloth,hyena	loner,fast,regal,annoying,huge,cute,scary,industrious,evil,massive,majestic,timid,playful,loyal,comical,lazy,ruthless
