workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.items	Answer.dimensions	Answer.desTypes	Answer.qualities	Answer.speakerGenders	Answer.genders	Answer.bins0	Answer.bins1	Answer.bins2	Answer.bins3	Answer.bins4	Answer.bins5	Answer.bins6	Answer.bins7	Answer.bins8	Answer.bins9	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9
1	M	25	4	english	1,2,3,4,5,6	bird,elephant,penguin,giraffe,cheetah,turtle	weight,weight,height,height,speed,speed	fig,lit,lit,fig,lit,fig	light,heavy,short,tall,fast,slow	woman,man,woman,woman,man,woman	woman,man,man,woman,woman,man	0-10,0-10,0-1,0-1,0-1,0-1	10-100,10-100,1-4,1-4,1-5,1-5	100-120,100-120,4-4.5,4-4.5,5-6,5-6	120-140,120-140,4.5-5,4.5-5,6-7,6-7	140-160,140-160,5-5.5,5-5.5,7-8,7-8	160-180,160-180,5.5-6,5.5-6,8-9,8-9	180-200,180-200,6-6.5,6-6.5,9-10,9-10	200-220,200-220,6.5-7,6.5-7,10-20,10-20	220-10000,220-10000,7-15,7-15,20-60,20-60	>10000,>10000,>15,>15,>60,>60	0.02,0.02,0.03,0.04,0.01,0.92	0.97,0.02,0,0.04,0.02,0.88	0,0.05,0.08,0.03,0.44,0.02	0.02,0.1,0.1,0.02,0.49,0.03	0.02,0.1,0.98,0.03,0.39,0.01	0,0.15,0.29,0.56,0.27,0.03	0.04,0.49,0.19,0.71,0.23,0.03	0.02,0.73,0.12,0.08,0.12,0.04	0.04,0.81,0.03,0.02,0.04,0.04	0.02,0.03,0.03,0.04,0.01,0.04
2	M	35	4	english	1,2,3,4,5,6	bird,turtle,penguin,giraffe,cheetah,elephant	weight,speed,height,height,speed,weight	fig,lit,lit,fig,lit,fig	light,slow,short,tall,fast,heavy	woman,woman,man,man,man,man	man,woman,man,woman,woman,man	0-10,0-1,0-1,0-1,0-1,0-10	10-100,1-5,1-4,1-4,1-5,10-100	100-120,5-6,4-4.5,4-4.5,5-6,100-120	120-140,6-7,4.5-5,4.5-5,6-7,120-140	140-160,7-8,5-5.5,5-5.5,7-8,140-160	160-180,8-9,5.5-6,5.5-6,8-9,160-180	180-200,9-10,6-6.5,6-6.5,9-10,180-200	200-220,10-20,6.5-7,6.5-7,10-20,200-220	220-10000,20-60,7-15,7-15,20-60,220-10000	>10000,>60,>15,>15,>60,>10000	0.84,0.77,0.79,0.74,0.8,0.76	0.62,0.51,0.61,0.52,0.6,0.52	0.64,0.47,0.69,0.53,0.49,0.57	0.78,0.63,0.71,0.48,0.57,0.69	0.68,0.65,0.61,0.54,0.67,0.62	0.53,0.47,0.51,0.64,0.66,0.56	0.56,0.45,0.48,0.58,0.56,0.55	0.59,0.65,0.67,0.45,0.51,0.67	0.67,0.53,0.68,0.54,0.53,0.65	0.6,0.66,0.58,0.59,0.64,0.56
3	F	25	4	english	1,2,3,4,5,6	elephant,bird,cheetah,giraffe,penguin,turtle	weight,weight,speed,height,height,speed	fig,lit,lit,fig,fig,lit	heavy,light,fast,tall,short,slow	man,woman,man,woman,man,woman	man,woman,woman,man,woman,man	0-10,0-10,0-1,0-1,0-1,0-1	10-100,10-100,1-5,1-4,1-4,1-5	100-120,100-120,5-6,4-4.5,4-4.5,5-6	120-140,120-140,6-7,4.5-5,4.5-5,6-7	140-160,140-160,7-8,5-5.5,5-5.5,7-8	160-180,160-180,8-9,5.5-6,5.5-6,8-9	180-200,180-200,9-10,6-6.5,6-6.5,9-10	200-220,200-220,10-20,6.5-7,6.5-7,10-20	220-10000,220-10000,20-60,7-15,7-15,20-60	>10000,>10000,>60,>15,>15,>60	0.03,0,0.06,0.03,0,0.94	0.22,0.97,0.19,0.03,0.87,0.94	0.31,0.88,0.33,0.67,0.89,0.68	0.46,0.27,0.35,0.79,0.93,0	0.81,0.08,0.35,0.89,0.31,0	0.86,0,0.33,0.91,0.1,0	0.49,0,0.17,0.9,0,0	0.29,0.02,0.02,0.92,0,0	0,0.01,0.03,0.95,0,0	0,0.01,0.02,0,0,0
4	F	35	6	English	1,2,3,4,5,6	cheetah,elephant,giraffe,penguin,bird,turtle	speed,weight,height,height,weight,speed	fig,lit,lit,fig,fig,lit	fast,heavy,tall,short,light,slow	man,man,man,woman,man,woman	woman,woman,man,man,woman,man	0-1,0-10,0-1,0-1,0-10,0-1	1-5,10-100,1-4,1-4,10-100,1-5	5-6,100-120,4-4.5,4-4.5,100-120,5-6	6-7,120-140,4.5-5,4.5-5,120-140,6-7	7-8,140-160,5-5.5,5-5.5,140-160,7-8	8-9,160-180,5.5-6,5.5-6,160-180,8-9	9-10,180-200,6-6.5,6-6.5,180-200,9-10	10-20,200-220,6.5-7,6.5-7,200-220,10-20	20-60,220-10000,7-15,7-15,220-10000,20-60	>60,>10000,>15,>15,>10000,>60	0.93,0.02,0.04,0.02,0.02,0.15	0.93,0.51,0.12,0.24,0.77,0.63	0.83,0.58,0.07,0.43,0.77,0.64	0.76,0.56,0.05,0.49,0.7,0.46	0.61,0.59,0.18,0.82,0.36,0.18	0.48,0.63,0.37,0.83,0.2,0.14	0.17,0.78,0.86,0.11,0.14,0.02	0.05,0.77,0.71,0.01,0.03,0	0.06,0.08,0.05,0.02,0,0	0.02,0,0.02,0.03,0,0
5	F	55	11	english	1,2,3,4,5,6	elephant,cheetah,giraffe,penguin,bird,turtle	weight,speed,height,height,weight,speed	lit,lit,fig,fig,lit,fig	heavy,fast,tall,short,light,slow	man,woman,woman,man,woman,man	man,woman,man,woman,man,woman	0-10,0-1,0-1,0-1,0-10,0-1	10-100,1-5,1-4,1-4,10-100,1-5	100-120,5-6,4-4.5,4-4.5,100-120,5-6	120-140,6-7,4.5-5,4.5-5,120-140,6-7	140-160,7-8,5-5.5,5-5.5,140-160,7-8	160-180,8-9,5.5-6,5.5-6,160-180,8-9	180-200,9-10,6-6.5,6-6.5,180-200,9-10	200-220,10-20,6.5-7,6.5-7,200-220,10-20	220-10000,20-60,7-15,7-15,220-10000,20-60	>10000,>60,>15,>15,>10000,>60	0.01,0.99,0.01,0.03,0.01,0.99	0.01,0.98,0,0.09,0.13,0.96	0,0.73,0,0.46,0.33,0.52	0,0.64,0,0.96,0.91,0.12	0.11,0.47,0,0.37,0.93,0.05	0.21,0.35,0.29,0.08,0.53,0.01	0.4,0.21,0.78,0.06,0.31,0	0.53,0.03,0.9,0.03,0.18,0.02	0.97,0,0.29,0,0.06,0.02	0.97,0,0.04,0,0.02,0.03
6	F	35	6	English	1,2,3,4,5,6	penguin,elephant,giraffe,bird,turtle,cheetah	height,weight,height,weight,speed,speed	lit,fig,fig,lit,fig,lit	short,heavy,tall,light,slow,fast	man,woman,man,man,woman,woman	man,man,woman,man,woman,woman	0-1,0-10,0-1,0-10,0-1,0-1	1-4,10-100,1-4,10-100,1-5,1-5	4-4.5,100-120,4-4.5,100-120,5-6,5-6	4.5-5,120-140,4.5-5,120-140,6-7,6-7	5-5.5,140-160,5-5.5,140-160,7-8,7-8	5.5-6,160-180,5.5-6,160-180,8-9,8-9	6-6.5,180-200,6-6.5,180-200,9-10,9-10	6.5-7,200-220,6.5-7,200-220,10-20,10-20	7-15,220-10000,7-15,220-10000,20-60,20-60	>15,>10000,>15,>10000,>60,>60	0,0,0,0,0.21,0	0.06,0,0,0.56,0.65,0.34	0.08,0.08,0,0.75,0.08,0.41	0.08,0.09,0,0.64,0,0.71	0.49,0.14,0.06,0.5,0,0.63	0.87,0.14,0.12,0.37,0,0.59	0.1,0.23,0.81,0.17,0,0.15	0.06,0.83,0.62,0.02,0,0	0.04,0.58,0.11,0,0,0	0,0,0,0,0,0
7	M	55	10	English	1,2,3,4,5,6	bird,giraffe,penguin,elephant,turtle,cheetah	weight,height,height,weight,speed,speed	lit,lit,lit,fig,fig,fig	light,tall,short,heavy,slow,fast	man,woman,woman,woman,man,man	woman,man,woman,man,woman,man	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-4,1-4,10-100,1-5,1-5	100-120,4-4.5,4-4.5,100-120,5-6,5-6	120-140,4.5-5,4.5-5,120-140,6-7,6-7	140-160,5-5.5,5-5.5,140-160,7-8,7-8	160-180,5.5-6,5.5-6,160-180,8-9,8-9	180-200,6-6.5,6-6.5,180-200,9-10,9-10	200-220,6.5-7,6.5-7,200-220,10-20,10-20	220-10000,7-15,7-15,220-10000,20-60,20-60	>10000,>15,>15,>10000,>60,>60	0.02,0.03,0,0.02,0,0.01	0.13,0.03,0.04,0,0.02,0.03	0.92,0.03,0.08,0.03,0.03,0.03	0.5,0.03,0.92,0.04,0.09,0	0.26,0.02,0.48,0.04,0.12,0.02	0.96,0.05,0,0.07,0.13,0.02	0.98,0.89,0.01,0.52,0.46,0.03	0.97,0.65,0.03,0.74,0.88,0.04	0.96,0.02,0.04,0.87,0.02,1	0.96,0.04,0.04,0.02,0.01,0.27
8	F	35	4	english	1,2,3,4,5,6	cheetah,turtle,giraffe,penguin,bird,elephant	speed,speed,height,height,weight,weight	lit,fig,fig,lit,fig,lit	fast,slow,tall,short,light,heavy	man,man,woman,woman,man,woman	man,woman,woman,woman,man,man	0-1,0-1,0-1,0-1,0-10,0-10	1-5,1-5,1-4,1-4,10-100,10-100	5-6,5-6,4-4.5,4-4.5,100-120,100-120	6-7,6-7,4.5-5,4.5-5,120-140,120-140	7-8,7-8,5-5.5,5-5.5,140-160,140-160	8-9,8-9,5.5-6,5.5-6,160-180,160-180	9-10,9-10,6-6.5,6-6.5,180-200,180-200	10-20,10-20,6.5-7,6.5-7,200-220,200-220	20-60,20-60,7-15,7-15,220-10000,220-10000	>60,>60,>15,>15,>10000,>10000	0.55,0.43,0.43,0.48,0.49,0.46	0.55,0.56,0.54,0.46,0.51,0.47	0.65,0.48,0.46,0.59,0.45,0.53	0.74,0.46,0.44,0.54,0.53,0.51	0.61,0.55,0.51,0.52,0.57,0.44	0.58,0.49,0.56,0.47,0.51,0.47	0.55,0.49,0.56,0.47,0.46,0.55	0.55,0.54,0.48,0.54,0.55,0.48	0.58,0.52,0.46,0.48,0.52,0.49	0.58,0.5,0.46,0.47,0.49,0.48
9	M	25	0	English	1,2,3,4,5,6	cheetah,bird,turtle,elephant,giraffe,penguin	speed,weight,speed,weight,height,height	lit,lit,fig,lit,fig,fig	fast,light,slow,heavy,tall,short	man,man,woman,woman,woman,man	man,woman,woman,woman,man,man	0-1,0-10,0-1,0-10,0-1,0-1	1-5,10-100,1-5,10-100,1-4,1-4	5-6,100-120,5-6,100-120,4-4.5,4-4.5	6-7,120-140,6-7,120-140,4.5-5,4.5-5	7-8,140-160,7-8,140-160,5-5.5,5-5.5	8-9,160-180,8-9,160-180,5.5-6,5.5-6	9-10,180-200,9-10,180-200,6-6.5,6-6.5	10-20,200-220,10-20,200-220,6.5-7,6.5-7	20-60,220-10000,20-60,220-10000,7-15,7-15	>60,>10000,>60,>10000,>15,>15	0.96,0.02,0.62,0.22,0.18,0.28	0.97,0.74,0.58,0.65,0.51,0.79	0.96,0.71,0.62,0.7,0.73,0.73	0.69,0.46,0.55,0.75,0.69,0.75	0.69,0.39,0.62,0.68,0.69,0.49	0.71,0.4,0.58,0.49,0.58,0.24	0.52,0.26,0.45,0.33,0.52,0.2	0.46,0.22,0.38,0.3,0.34,0.13	0.24,0.06,0.32,0.07,0.06,0.11	0.11,0.02,0.12,0.03,0.06,0.05
10	M	25	4	English	1,2,3,4,5,6	elephant,giraffe,cheetah,bird,penguin,turtle	weight,height,speed,weight,height,speed	lit,fig,lit,lit,fig,fig	heavy,tall,fast,light,short,slow	man,woman,man,woman,man,man	woman,man,woman,man,woman,man	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-4,1-5,10-100,1-4,1-5	100-120,4-4.5,5-6,100-120,4-4.5,5-6	120-140,4.5-5,6-7,120-140,4.5-5,6-7	140-160,5-5.5,7-8,140-160,5-5.5,7-8	160-180,5.5-6,8-9,160-180,5.5-6,8-9	180-200,6-6.5,9-10,180-200,6-6.5,9-10	200-220,6.5-7,10-20,200-220,6.5-7,10-20	220-10000,7-15,20-60,220-10000,7-15,20-60	>10000,>15,>60,>10000,>15,>60	0.5,0.71,0.47,0.79,0.69,0.67	0.5,0.46,0.76,0.79,0.38,0.49	0.85,0.84,0.49,0.61,0.24,0.48	0.49,0.81,0.7,0.65,0.24,0.66	0.55,0.55,0.28,0.67,0.19,0.55	0.57,0.72,0.49,0.47,0.12,0.41	0.52,0.55,0.6,0.75,0.19,0.36	0.79,0.45,0.55,0.63,0.19,0.32	0.4,0.71,0.63,0.32,0.14,0.15	0.71,0.5,0.76,0.26,0.04,0.53
